   0.160260E+00   0.145019E+07   0.144193E+07  -0.138577E+01  -0.138641E+01   0.000000E+00   0.144889E+07   0.144889E+07   0.144889E+07  -0.343501E-01   0.762159E+06   0.762104E+06   0.114600E+00
   0.163013E+00   0.141320E+07   0.140497E+07  -0.130518E+01  -0.130578E+01   0.000000E+00   0.141191E+07   0.141191E+07   0.141191E+07  -0.334733E-01   0.742706E+06   0.742651E+06   0.112464E+00
   0.165766E+00   0.137953E+07   0.137143E+07  -0.123211E+01  -0.123268E+01   0.000000E+00   0.137826E+07   0.137826E+07   0.137826E+07  -0.326756E-01   0.725005E+06   0.724951E+06   0.108507E+00
   0.168519E+00   0.134916E+07   0.134127E+07  -0.116594E+01  -0.116648E+01   0.000000E+00   0.134792E+07   0.134792E+07   0.134792E+07  -0.319563E-01   0.709046E+06   0.708994E+06   0.102991E+00
   0.171272E+00   0.132187E+07   0.131427E+07  -0.110594E+01  -0.110645E+01   0.000000E+00   0.132068E+07   0.132068E+07   0.132068E+07  -0.313103E-01   0.694714E+06   0.694664E+06   0.962678E-01
   0.174025E+00   0.129726E+07   0.129002E+07  -0.105131E+01  -0.105179E+01   0.000000E+00   0.129613E+07   0.129613E+07   0.129613E+07  -0.307284E-01   0.681800E+06   0.681754E+06   0.887467E-01
   0.176778E+00   0.127485E+07   0.126799E+07  -0.100124E+01  -0.100170E+01   0.000000E+00   0.127377E+07   0.127377E+07   0.127377E+07  -0.301983E-01   0.670039E+06   0.669997E+06   0.808555E-01
   0.179530E+00   0.125407E+07   0.124763E+07  -0.954982E+00  -0.955422E+00   0.000000E+00   0.125306E+07   0.125306E+07   0.125306E+07  -0.297073E-01   0.659144E+06   0.659105E+06   0.730078E-01
   0.182283E+00   0.123441E+07   0.122838E+07  -0.911865E+00  -0.912284E+00   0.000000E+00   0.123347E+07   0.123347E+07   0.123347E+07  -0.292428E-01   0.648837E+06   0.648801E+06   0.655758E-01
   0.185036E+00   0.121541E+07   0.120975E+07  -0.871335E+00  -0.871736E+00   0.000000E+00   0.121452E+07   0.121452E+07   0.121452E+07  -0.287936E-01   0.638870E+06   0.638837E+06   0.588678E-01
   0.187789E+00   0.119665E+07   0.119134E+07  -0.832944E+00  -0.833327E+00   0.000000E+00   0.119582E+07   0.119582E+07   0.119582E+07  -0.283502E-01   0.629031E+06   0.629001E+06   0.531150E-01
   0.190542E+00   0.117782E+07   0.117279E+07  -0.796335E+00  -0.796701E+00   0.000000E+00   0.117703E+07   0.117703E+07   0.117703E+07  -0.279047E-01   0.619148E+06   0.619120E+06   0.484633E-01
   0.193295E+00   0.115864E+07   0.115385E+07  -0.761231E+00  -0.761582E+00   0.000000E+00   0.115789E+07   0.115789E+07   0.115789E+07  -0.274511E-01   0.609082E+06   0.609056E+06   0.449732E-01
   0.196048E+00   0.113895E+07   0.113433E+07  -0.727435E+00  -0.727769E+00   0.000000E+00   0.113823E+07   0.113823E+07   0.113823E+07  -0.269849E-01   0.598737E+06   0.598712E+06   0.426245E-01
   0.198800E+00   0.111865E+07   0.111413E+07  -0.694818E+00  -0.695138E+00   0.000000E+00   0.111794E+07   0.111794E+07   0.111794E+07  -0.265039E-01   0.588065E+06   0.588040E+06   0.413263E-01
   0.201553E+00   0.109773E+07   0.109325E+07  -0.663324E+00  -0.663629E+00   0.000000E+00   0.109703E+07   0.109703E+07   0.109703E+07  -0.260081E-01   0.577064E+06   0.577040E+06   0.409306E-01
   0.204306E+00   0.107629E+07   0.107181E+07  -0.632953E+00  -0.633244E+00   0.000000E+00   0.107559E+07   0.107559E+07   0.107559E+07  -0.254998E-01   0.565786E+06   0.565761E+06   0.412486E-01
   0.207059E+00   0.105450E+07   0.104998E+07  -0.603752E+00  -0.604029E+00   0.000000E+00   0.105379E+07   0.105379E+07   0.105379E+07  -0.249831E-01   0.554323E+06   0.554297E+06   0.420680E-01
   0.209812E+00   0.103260E+07   0.102801E+07  -0.575788E+00  -0.576053E+00   0.000000E+00   0.103188E+07   0.103188E+07   0.103188E+07  -0.244636E-01   0.542797E+06   0.542770E+06   0.431702E-01
   0.212565E+00   0.101084E+07   0.100617E+07  -0.549137E+00  -0.549389E+00   0.000000E+00   0.101011E+07   0.101011E+07   0.101011E+07  -0.239474E-01   0.531344E+06   0.531316E+06   0.443458E-01
   0.215318E+00   0.989476E+06   0.984724E+06  -0.523861E+00  -0.524102E+00   0.000000E+00   0.988732E+06   0.988732E+06   0.988732E+06  -0.234406E-01   0.520100E+06   0.520070E+06   0.454080E-01
   0.218070E+00   0.968746E+06   0.963925E+06  -0.500007E+00  -0.500237E+00   0.000000E+00   0.967991E+06   0.967991E+06   0.967991E+06  -0.229489E-01   0.509190E+06   0.509159E+06   0.462026E-01
   0.226792E+00   0.909338E+06   0.904468E+06  -0.433918E+00  -0.434117E+00   0.000000E+00   0.908575E+06   0.908575E+06   0.908575E+06  -0.215403E-01   0.477936E+06   0.477904E+06   0.459042E-01
   0.235863E+00   0.859814E+06   0.855232E+06  -0.379337E+00  -0.379512E+00   0.000000E+00   0.859096E+06   0.859096E+06   0.859096E+06  -0.203673E-01   0.451908E+06   0.451879E+06   0.408721E-01
   0.245296E+00   0.819192E+06   0.815143E+06  -0.334169E+00  -0.334323E+00   0.000000E+00   0.818558E+06   0.818558E+06   0.818558E+06  -0.194062E-01   0.430584E+06   0.430559E+06   0.332258E-01
   0.255106E+00   0.781692E+06   0.778156E+06  -0.294834E+00  -0.294969E+00   0.000000E+00   0.781138E+06   0.781138E+06   0.781138E+06  -0.185191E-01   0.410899E+06   0.410879E+06   0.266795E-01
   0.265309E+00   0.741858E+06   0.738593E+06  -0.258707E+00  -0.258826E+00   0.000000E+00   0.741346E+06   0.741346E+06   0.741346E+06  -0.175757E-01   0.389968E+06   0.389949E+06   0.236138E-01
   0.275920E+00   0.698554E+06   0.695314E+06  -0.225222E+00  -0.225326E+00   0.000000E+00   0.698047E+06   0.698047E+06   0.698047E+06  -0.165491E-01   0.367191E+06   0.367172E+06   0.234292E-01
   0.286956E+00   0.655438E+06   0.652173E+06  -0.195372E+00  -0.195461E+00   0.000000E+00   0.654927E+06   0.654927E+06   0.654927E+06  -0.155269E-01   0.344509E+06   0.344489E+06   0.234871E-01
   0.298432E+00   0.617362E+06   0.614222E+06  -0.170138E+00  -0.170216E+00   0.000000E+00   0.616870E+06   0.616870E+06   0.616870E+06  -0.146246E-01   0.324491E+06   0.324471E+06   0.217437E-01
   0.310368E+00   0.585057E+06   0.582202E+06  -0.149076E+00  -0.149145E+00   0.000000E+00   0.584610E+06   0.584610E+06   0.584610E+06  -0.138598E-01   0.307520E+06   0.307503E+06   0.185150E-01
   0.322781E+00   0.555308E+06   0.552733E+06  -0.130827E+00  -0.130887E+00   0.000000E+00   0.554905E+06   0.554905E+06   0.554905E+06  -0.131556E-01   0.291895E+06   0.291880E+06   0.156712E-01
   0.335691E+00   0.524512E+06   0.522079E+06  -0.114250E+00  -0.114302E+00   0.000000E+00   0.524131E+06   0.524131E+06   0.524131E+06  -0.124260E-01   0.275707E+06   0.275692E+06   0.143397E-01
   0.349117E+00   0.493093E+06   0.490711E+06  -0.993014E-01  -0.993470E-01   0.000000E+00   0.492720E+06   0.492720E+06   0.492720E+06  -0.116813E-01   0.259184E+06   0.259170E+06   0.138160E-01
   0.363080E+00   0.464008E+06   0.461721E+06  -0.863940E-01  -0.864338E-01   0.000000E+00   0.463650E+06   0.463650E+06   0.463650E+06  -0.109921E-01   0.243892E+06   0.243878E+06   0.128244E-01
   0.377601E+00   0.438410E+06   0.436297E+06  -0.754714E-01  -0.755061E-01   0.000000E+00   0.438079E+06   0.438079E+06   0.438079E+06  -0.103859E-01   0.230441E+06   0.230429E+06   0.112282E-01
   0.392703E+00   0.414394E+06   0.412442E+06  -0.659567E-01  -0.659870E-01   0.000000E+00   0.414088E+06   0.414088E+06   0.414088E+06  -0.981711E-02   0.217821E+06   0.217810E+06   0.987131E-02
   0.408409E+00   0.390327E+06   0.388469E+06  -0.574394E-01  -0.574658E-01   0.000000E+00   0.390036E+06   0.390036E+06   0.390036E+06  -0.924690E-02   0.205169E+06   0.205158E+06   0.911594E-02
   0.424743E+00   0.367134E+06   0.365355E+06  -0.499503E-01  -0.499733E-01   0.000000E+00   0.366855E+06   0.366855E+06   0.366855E+06  -0.869733E-02   0.192976E+06   0.192965E+06   0.845947E-02
   0.441731E+00   0.346030E+06   0.344364E+06  -0.435278E-01  -0.435478E-01   0.000000E+00   0.345769E+06   0.345769E+06   0.345769E+06  -0.819741E-02   0.181884E+06   0.181874E+06   0.757228E-02
   0.459398E+00   0.326332E+06   0.324779E+06  -0.379536E-01  -0.379711E-01   0.000000E+00   0.326089E+06   0.326089E+06   0.326089E+06  -0.773084E-02   0.171531E+06   0.171522E+06   0.674735E-02
   0.477771E+00   0.307164E+06   0.305695E+06  -0.330294E-01  -0.330446E-01   0.000000E+00   0.306934E+06   0.306934E+06   0.306934E+06  -0.727673E-02   0.161456E+06   0.161447E+06   0.616948E-02
   0.496880E+00   0.288981E+06   0.287590E+06  -0.287300E-01  -0.287432E-01   0.000000E+00   0.288763E+06   0.288763E+06   0.288763E+06  -0.684593E-02   0.151897E+06   0.151889E+06   0.562697E-02
   0.516752E+00   0.272134E+06   0.270831E+06  -0.250143E-01  -0.250258E-01   0.000000E+00   0.271930E+06   0.271930E+06   0.271930E+06  -0.644685E-02   0.143042E+06   0.143035E+06   0.504724E-02
   0.537420E+00   0.256134E+06   0.254910E+06  -0.217676E-01  -0.217776E-01   0.000000E+00   0.255942E+06   0.255942E+06   0.255942E+06  -0.606783E-02   0.134632E+06   0.134625E+06   0.456190E-02
   0.558914E+00   0.240878E+06   0.239723E+06  -0.189268E-01  -0.189355E-01   0.000000E+00   0.240697E+06   0.240697E+06   0.240697E+06  -0.570640E-02   0.126613E+06   0.126606E+06   0.414851E-02
   0.581267E+00   0.226597E+06   0.225512E+06  -0.164616E-01  -0.164692E-01   0.000000E+00   0.226427E+06   0.226427E+06   0.226427E+06  -0.536808E-02   0.119107E+06   0.119100E+06   0.374076E-02
   0.604515E+00   0.213113E+06   0.212093E+06  -0.143142E-01  -0.143208E-01   0.000000E+00   0.212953E+06   0.212953E+06   0.212953E+06  -0.504865E-02   0.112019E+06   0.112013E+06   0.337893E-02
   0.628692E+00   0.200335E+06   0.199376E+06  -0.124409E-01  -0.124466E-01   0.000000E+00   0.200185E+06   0.200185E+06   0.200185E+06  -0.474595E-02   0.105303E+06   0.105297E+06   0.306061E-02
   0.653837E+00   0.188327E+06   0.187426E+06  -0.108130E-01  -0.108179E-01   0.000000E+00   0.188186E+06   0.188186E+06   0.188186E+06  -0.446147E-02   0.989909E+05   0.989854E+05   0.276227E-02
   0.816543E+00   0.132125E+06   0.131492E+06  -0.486402E-02  -0.486626E-02   0.000000E+00   0.132026E+06   0.132026E+06   0.132026E+06  -0.313003E-02   0.694490E+05   0.694452E+05   0.155169E-02
   0.101974E+01   0.921485E+05   0.917077E+05  -0.217511E-02  -0.217611E-02   0.000000E+00   0.920795E+05   0.920795E+05   0.920795E+05  -0.218300E-02   0.484363E+05   0.484336E+05   0.866781E-03
   0.127350E+01   0.639268E+05   0.636210E+05  -0.967510E-03  -0.967955E-03   0.000000E+00   0.638789E+05   0.638789E+05   0.638789E+05  -0.151443E-02   0.336020E+05   0.336002E+05   0.481985E-03
   0.159041E+01   0.441355E+05   0.439245E+05  -0.428293E-03  -0.428490E-03   0.000000E+00   0.441025E+05   0.441025E+05   0.441025E+05  -0.104557E-02   0.231991E+05   0.231978E+05   0.267012E-03
   0.198618E+01   0.303400E+05   0.301949E+05  -0.188777E-03  -0.188863E-03   0.000000E+00   0.303172E+05   0.303172E+05   0.303172E+05  -0.718755E-03   0.159477E+05   0.159468E+05   0.147510E-03
   0.248044E+01   0.207747E+05   0.206753E+05  -0.828795E-04  -0.829177E-04   0.000000E+00   0.207591E+05   0.207591E+05   0.207591E+05  -0.492152E-03   0.109198E+05   0.109192E+05   0.813608E-04
   0.309769E+01   0.141743E+05   0.141065E+05  -0.362574E-04  -0.362741E-04   0.000000E+00   0.141637E+05   0.141637E+05   0.141637E+05  -0.335790E-03   0.745049E+04   0.745008E+04   0.448738E-04
   0.386855E+01   0.963964E+04   0.959351E+04  -0.158101E-04  -0.158174E-04   0.000000E+00   0.963241E+04   0.963241E+04   0.963241E+04  -0.228363E-03   0.506691E+04   0.506662E+04   0.248020E-04
   0.483124E+01   0.653626E+04   0.650496E+04  -0.687360E-05  -0.687676E-05   0.000000E+00   0.653136E+04   0.653136E+04   0.653136E+04  -0.154844E-03   0.343567E+04   0.343547E+04   0.137783E-04
   0.603348E+01   0.441997E+04   0.439878E+04  -0.298027E-05  -0.298164E-05   0.000000E+00   0.441665E+04   0.441665E+04   0.441665E+04  -0.104709E-03   0.232328E+04   0.232314E+04   0.772536E-05
   0.753491E+01   0.298144E+04   0.296712E+04  -0.128897E-05  -0.128956E-05   0.000000E+00   0.297920E+04   0.297920E+04   0.297920E+04  -0.706303E-04   0.156714E+04   0.156704E+04   0.439629E-05
   0.940996E+01   0.200649E+04   0.199682E+04  -0.556205E-06  -0.556461E-06   0.000000E+00   0.200498E+04   0.200498E+04   0.200498E+04  -0.475336E-04   0.105467E+04   0.105460E+04   0.255732E-05
   0.117516E+02   0.134750E+04   0.134097E+04  -0.239501E-06  -0.239611E-06   0.000000E+00   0.134648E+04   0.134648E+04   0.134648E+04  -0.319220E-04   0.708284E+03   0.708230E+03   0.153317E-05
   0.146760E+02   0.903163E+03   0.898751E+03  -0.102927E-06  -0.102974E-06   0.000000E+00   0.902471E+03   0.902471E+03   0.902471E+03  -0.213956E-04   0.474726E+03   0.474684E+03   0.955114E-06
   0.183281E+02   0.604239E+03   0.601251E+03  -0.441524E-07  -0.441727E-07   0.000000E+00   0.603771E+03   0.603771E+03   0.603771E+03  -0.143141E-04   0.317601E+03   0.317567E+03   0.622191E-06
   0.228890E+02   0.403559E+03   0.401525E+03  -0.189077E-07  -0.189164E-07   0.000000E+00   0.403240E+03   0.403240E+03   0.403240E+03  -0.955994E-05   0.212117E+03   0.212088E+03   0.424918E-06
   0.285849E+02   0.269093E+03   0.267696E+03  -0.808392E-08  -0.808764E-08   0.000000E+00   0.268874E+03   0.268874E+03   0.268874E+03  -0.637441E-05   0.141437E+03   0.141411E+03   0.303601E-06
   0.356983E+02   0.179153E+03   0.178182E+03  -0.345094E-08  -0.345252E-08   0.000000E+00   0.179001E+03   0.179001E+03   0.179001E+03  -0.424371E-05   0.941609E+02   0.941368E+02   0.225597E-06
   0.445817E+02   0.119093E+03   0.118405E+03  -0.147097E-08  -0.147164E-08   0.000000E+00   0.118986E+03   0.118986E+03   0.118986E+03  -0.282089E-05   0.625915E+02   0.625684E+02   0.172945E-06
   0.556759E+02   0.790487E+02   0.785476E+02  -0.626070E-09  -0.626357E-09   0.000000E+00   0.789702E+02   0.789702E+02   0.789702E+02  -0.187221E-05   0.415424E+02   0.415198E+02   0.135656E-06
   0.695307E+02   0.523865E+02   0.520087E+02  -0.266059E-09  -0.266181E-09   0.000000E+00   0.523273E+02   0.523273E+02   0.523273E+02  -0.124057E-05   0.275276E+02   0.275051E+02   0.108081E-06
   0.868334E+02   0.346577E+02   0.343610E+02  -0.112880E-09  -0.112932E-09   0.000000E+00   0.346112E+02   0.346112E+02   0.346112E+02  -0.820556E-06   0.182085E+02   0.181859E+02   0.869430E-07
   0.108442E+03   0.228836E+02   0.226399E+02  -0.478018E-10  -0.478237E-10   0.000000E+00   0.228455E+02   0.228455E+02   0.228455E+02  -0.541615E-06   0.120195E+02   0.119966E+02   0.702768E-07
   0.135427E+03   0.150733E+02   0.148644E+02  -0.201974E-10  -0.202067E-10   0.000000E+00   0.150406E+02   0.150406E+02   0.150406E+02  -0.356579E-06   0.791395E+01   0.789087E+01   0.568491E-07
   0.169128E+03   0.989842E+01   0.971276E+01  -0.850983E-11  -0.851372E-11   0.000000E+00   0.986934E+01   0.986934E+01   0.986934E+01  -0.233980E-06   0.519376E+01   0.517051E+01   0.458486E-07
   0.211216E+03   0.647411E+01   0.630489E+01  -0.357234E-11  -0.357396E-11   0.000000E+00   0.644760E+01   0.644760E+01   0.644760E+01  -0.152858E-06   0.339384E+01   0.337059E+01   0.367171E-07
   0.263777E+03   0.421205E+01   0.405596E+01  -0.149246E-11  -0.149313E-11   0.000000E+00   0.418760E+01   0.418760E+01   0.418760E+01  -0.992787E-07   0.220499E+01   0.218201E+01   0.290615E-07
   0.329417E+03   0.272176E+01   0.257818E+01  -0.619737E-12  -0.620014E-12   0.000000E+00   0.269927E+01   0.269927E+01   0.269927E+01  -0.639938E-07   0.142202E+01   0.139969E+01   0.226113E-07
